MySQL Parameter,PostgreSQL Parameter,Similarity
innodb-buffer-pool-size=#,min_parallel_index_scan_size,0.8142674
innodb-write-io-threads=#,backend_flush_after,0.8142557
innodb-write-io-threads=#,bgwriter_flush_after,0.8142557
innodb-write-io-threads=#,checkpoint_flush_after,0.8142557
myisam-sort-buffer-size=#,work_mem,0.81421596
innodb-adaptive-hash-index-parts[=#],log_parser_stats,0.8141856
innodb-log-buffer-size=#,max_parallel_workers,0.814159
tmp-table-size=#,log_autovacuum_min_duration,0.8141428
tmp-table-size=#,backend_flush_after,0.8141368
tmp-table-size=#,bgwriter_flush_after,0.8141368
tmp-table-size=#,checkpoint_flush_after,0.8141368
innodb-sort-buffer-size=#,min_dynamic_shared_memory,0.81413317
innodb-sort-buffer-size=#,min_dynamic_shared_memory,0.81413317
max-connections=#,autovacuum_max_workers,0.81409335
join-buffer-size=#,archive_cleanup_command,0.81409335
innodb-adaptive-hash-index-parts[=#],autovacuum_freeze_max_age,0.81408495
binlog-cache-size=#,backtrace_functions,0.8140466
read-buffer-size=#,max_pred_locks_per_transaction,0.8140125
innodb-thread-concurrency=#,transaction_read_only,0.814008
innodb-flush-neighbors[=#],temp_buffers,0.8139882
sort-buffer-size=#,unix_socket_group,0.81398594
innodb-sort-buffer-size=#,temp_buffers,0.8139423
innodb-sort-buffer-size=#,temp_buffers,0.8139423
sort-buffer-size=#,max_standby_archive_delay,0.8139211
binlog-cache-size=#,syslog_split_messages,0.8138354
myisam-sort-buffer-size=#,syslog_sequence_numbers,0.8138253
mysqlx-max-connections[=#],wal_receiver_timeout,0.813794
binlog-cache-size=#,syslog_ident,0.81378824
innodb-purge-threads[=#],superuser_reserved_connections,0.8137847
innodb-old-blocks-time=#,vacuum_cost_page_miss,0.8137721
replica-max-allowed-packet=#,work_mem,0.8137713
read-buffer-size=#,log_min_duration_statement,0.8137074
innodb-read-io-threads=#,autovacuum_work_mem,0.81369054
innodb-adaptive-hash-index-parts[=#],log_autovacuum_min_duration,0.8136877
table-open-cache=#,wal_block_size,0.8136723
innodb-adaptive-hash-index-parts[=#],jit_inline_above_cost,0.8136434
innodb-log-buffer-size=#,max_parallel_maintenance_workers,0.81352925
innodb-buffer-pool-size=#,jit_optimize_above_cost,0.81348604
innodb-log-buffer-size=#,min_dynamic_shared_memory,0.8134787
innodb-buffer-pool-size=#,synchronous_commit,0.8134309
replica-max-allowed-packet=#,port,0.8134187
bulk-insert-buffer-size=#,autovacuum_work_mem,0.8133398
innodb-log-buffer-size=#,autovacuum_vacuum_threshold,0.8133209
innodb-buffer-pool-size=#,block_size,0.8133095
innodb-adaptive-hash-index-parts[=#],jit_optimize_above_cost,0.81330025
bulk-insert-buffer-size=#,autovacuum_vacuum_scale_factor,0.81328917
replica-max-allowed-packet=#,idle_session_timeout,0.8132888
key-buffer-size=#,log_rotation_size,0.8132654
sort-buffer-size=#,unix_socket_permissions,0.81316066
innodb-buffer-pool-size=#,debug_print_parse,0.8131432
innodb-file-per-table,default_transaction_read_only,0.8131386
innodb-flush-neighbors[=#],wal_buffers,0.8130995
innodb-log-buffer-size=#,data_checksums,0.8130455
bulk-insert-buffer-size=#,temp_buffers,0.81295276
innodb-io-capacity=#,syslog_sequence_numbers,0.8129029
innodb-io-capacity=#,autovacuum_freeze_max_age,0.8128973
sort-buffer-size=#,enable_partition_pruning,0.8128861
innodb-io-capacity=#,recovery_end_command,0.81288296
innodb-buffer-pool-size=#,data_checksums,0.8128135
key-cache-age-threshold=#,max_wal_senders,0.81279993
innodb-io-capacity=#,hot_standby,0.81279457
binlog-cache-size=#,idle_session_timeout,0.81277424
innodb-log-buffer-size=#,log_line_prefix,0.81271076
key-buffer-size=#,recovery_init_sync_method,0.8127077
innodb-online-alter-log-max-size=#,wal_skip_threshold,0.81268835
innodb-adaptive-hash-index-parts[=#],temp_file_limit,0.8126395
innodb-log-buffer-size=#,ssl_crl_dir,0.81263566
innodb-log-file-size=#,jit_profiling_support,0.8126307
innodb-adaptive-hash-index-parts[=#],max_pred_locks_per_transaction,0.8126044
mysqlx-max-connections[=#],wal_buffers,0.81259674
max-binlog-cache-size=#,dynamic_shared_memory_type,0.8125258
innodb-old-blocks-time=#,client_connection_check_interval,0.8125025
innodb-buffer-pool-size=#,log_timezone,0.8124993
innodb-adaptive-hash-index-parts[=#],log_hostname,0.81247973
innodb-old-blocks-time=#,wal_log_hints,0.81247294
max-allowed-packet=#,transaction_deferrable,0.8124722
max-binlog-cache-size=#,debug_print_parse,0.8124714
binlog-cache-size=#,enable_parallel_hash,0.8124692
innodb-old-blocks-time=#,log_temp_files,0.81240904
innodb-file-per-table,archive_cleanup_command,0.81233746
key-buffer-size=#,idle_in_transaction_session_timeout,0.8123129
innodb-old-blocks-time=#,autovacuum_work_mem,0.8123096
innodb-max-dirty-pages-pct=#,autovacuum_vacuum_threshold,0.8123071
max-binlog-cache-size=#,effective_io_concurrency,0.8122909
read-buffer-size=#,recovery_end_command,0.81228626
join-buffer-size=#,max_replication_slots,0.8122743
innodb-read-io-threads=#,remove_temp_files_after_crash,0.8122686
read-buffer-size=#,log_parameter_max_length_on_error,0.8122669
innodb-log-file-size=#,ssl_crl_dir,0.8122417
table-open-cache-instances=#,max_function_args,0.81222606
tmp-table-size=#,max_files_per_process,0.8122062
tmp-table-size=#,superuser_reserved_connections,0.81219876
myisam-sort-buffer-size=#,archive_timeout,0.8121785
read-buffer-size=#,log_temp_files,0.81216276
innodb-log-file-size=#,logging_collector,0.8120872
replica-max-allowed-packet=#,client_encoding,0.81207824
read-buffer-size=#,default_transaction_read_only,0.81204367
innodb-flush-neighbors[=#],syslog_sequence_numbers,0.81203187
innodb-read-io-threads=#,dynamic_shared_memory_type,0.8120019
join-buffer-size=#,geqo_effort,0.8119949
read-buffer-size=#,wal_receiver_create_temp_slot,0.8119887
innodb-read-io-threads=#,backend_flush_after,0.811983
innodb-read-io-threads=#,bgwriter_flush_after,0.811983
innodb-read-io-threads=#,checkpoint_flush_after,0.811983
max-binlog-cache-size=#,block_size,0.8119726
read-rnd-buffer-size=#,log_truncate_on_rotation,0.81196356
innodb-file-per-table,wal_block_size,0.81196284
read-buffer-size=#,vacuum_cost_page_miss,0.81196046
mysqlx-max-connections[=#],hash_mem_multiplier,0.8119361
innodb-buffer-pool-size=#,transaction_isolation,0.81192875
myisam-sort-buffer-size=#,log_truncate_on_rotation,0.81192493
join-buffer-size=#,cursor_tuple_fraction,0.8118913
innodb-thread-concurrency=#,temp_tablespaces,0.81187356
read-rnd-buffer-size=#,log_parameter_max_length_on_error,0.81180114
innodb-adaptive-hash-index-parts[=#],log_rotation_size,0.8117964
key-buffer-size=#,cursor_tuple_fraction,0.81179553
binlog-cache-size=#,allow_system_table_mods,0.81175005
myisam-sort-buffer-size=#,wal_receiver_create_temp_slot,0.8117384
myisam-sort-buffer-size=#,wal_log_hints,0.8116882
max-binlog-cache-size=#,autovacuum_max_workers,0.8116767
innodb-buffer-pool-size=#,default_transaction_isolation,0.8116488
table-open-cache-instances=#,max_files_per_process,0.8116396
tmp-table-size=#,autovacuum_vacuum_threshold,0.81155765
innodb-log-buffer-size=#,debug_print_parse,0.81150544
innodb-write-io-threads=#,log_statement_stats,0.8114896
read-buffer-size=#,archive_command,0.8114859
mysqlx-max-connections[=#],geqo_effort,0.8114836
innodb-purge-threads[=#],temp_buffers,0.8114822
binlog-cache-size=#,max_standby_archive_delay,0.811476
key-cache-age-threshold=#,max_slot_wal_keep_size,0.81134915
myisam-sort-buffer-size=#,autovacuum_analyze_scale_factor,0.8113388
join-buffer-size=#,effective_cache_size,0.8113134
replica-max-allowed-packet=#,log_min_duration_statement,0.8112966
join-buffer-size=#,log_timezone,0.81128526
innodb-adaptive-hash-index-parts[=#],default_text_search_config,0.8112582
table-open-cache-instances=#,max_worker_processes,0.8112092
innodb-adaptive-hash-index-parts[=#],promote_trigger_file,0.81117344
max-binlog-cache-size=#,wal_segment_size,0.81113994
read-rnd-buffer-size=#,join_collapse_limit,0.81112146
read-buffer-size=#,log_parameter_max_length,0.8111104
mysqlx-max-allowed-packet[=#],log_error_verbosity,0.8111054
sort-buffer-size=#,jit_above_cost,0.81108725
innodb-read-io-threads=#,log_hostname,0.81108713
tmp-table-size=#,archive_cleanup_command,0.8110287
binlog-cache-size=#,max_files_per_process,0.81102264
mysqlx-max-connections[=#],max_files_per_process,0.81099385
binlog-cache-size=#,server_encoding,0.8109793
sort-buffer-size=#,wal_block_size,0.81097823
sort-buffer-size=#,max_parallel_workers_per_gather,0.81096447
innodb-buffer-pool-size=#,debug_discard_caches,0.81092954
innodb-adaptive-hash-index-parts[=#],max_sync_workers_per_subscription,0.8108847
replica-max-allowed-packet=#,lc_messages,0.81088465
innodb-file-per-table,wal_log_hints,0.81087327
read-buffer-size=#,autovacuum_vacuum_threshold,0.8108633
innodb-adaptive-hash-index-parts[=#],enable_partition_pruning,0.81082374
innodb-buffer-pool-size=#,log_temp_files,0.810815
innodb-thread-concurrency=#,log_destination,0.81079745
innodb-write-io-threads=#,log_hostname,0.8107903
mysqlx-max-allowed-packet[=#],lc_messages,0.8107703
innodb-read-io-threads=#,log_autovacuum_min_duration,0.81075966
read-buffer-size=#,wal_block_size,0.8107159
innodb-adaptive-hash-index,track_activity_query_size,0.8107022
mysqlx-max-connections[=#],work_mem,0.8106871
innodb-log-buffer-size=#,unix_socket_group,0.8106696
innodb-log-buffer-size=#,track_activity_query_size,0.8106679
max-binlog-cache-size=#,seq_page_cost,0.81066567
innodb-log-buffer-size=#,lc_messages,0.8106301
key-buffer-size=#,enable_partition_pruning,0.8106215
binlog-cache-size=#,enable_hashjoin,0.81059784
table-open-cache-instances=#,max_wal_senders,0.8105934
bulk-insert-buffer-size=#,wal_skip_threshold,0.81058925
join-buffer-size=#,max_parallel_workers_per_gather,0.8105873
read-buffer-size=#,vacuum_cost_page_hit,0.8105849
key-buffer-size=#,syslog_ident,0.8105788
mysqlx-max-connections[=#],autovacuum_vacuum_threshold,0.8105739
read-rnd-buffer-size=#,from_collapse_limit,0.81051314
key-buffer-size=#,bgwriter_lru_multiplier,0.8104811
mysqlx-max-allowed-packet[=#],max_wal_senders,0.81046987
innodb-io-capacity-max=#,log_min_duration_statement,0.81043637
innodb-log-file-size=#,ssl_crl_file,0.8104146
innodb-adaptive-hash-index-parts[=#],restore_command,0.81040895
key-cache-age-threshold=#,log_min_duration_sample,0.81037873
innodb-log-buffer-size=#,client_encoding,0.8103692
innodb-adaptive-hash-index-parts[=#],client_encoding,0.8103329
innodb-adaptive-hash-index-parts[=#],syslog_split_messages,0.8103255
innodb-max-dirty-pages-pct=#,max_slot_wal_keep_size,0.81030977
innodb-old-blocks-time=#,checkpoint_completion_target,0.81022656
max-binlog-cache-size=#,unix_socket_permissions,0.8102037
read-buffer-size=#,log_line_prefix,0.8102032
innodb-thread-concurrency=#,max_replication_slots,0.8101696
join-buffer-size=#,log_transaction_sample_rate,0.8101244
join-buffer-size=#,transaction_isolation,0.8101168
myisam-sort-buffer-size=#,backend_flush_after,0.81010157
myisam-sort-buffer-size=#,bgwriter_flush_after,0.81010157
myisam-sort-buffer-size=#,checkpoint_flush_after,0.81010157
key-cache-age-threshold=#,autovacuum_vacuum_scale_factor,0.8100788
key-buffer-size=#,bytea_output,0.8100617
key-buffer-size=#,allow_in_place_tablespaces,0.81004083
sort-buffer-size=#,dynamic_shared_memory_type,0.8100389
tmp-table-size=#,wal_keep_size,0.80999875
innodb-log-buffer-size=#,autovacuum_max_workers,0.8099948
innodb-thread-concurrency=#,default_toast_compression,0.80998874
binlog-cache-size=#,cursor_tuple_fraction,0.80996346
table-open-cache=#,wal_keep_size,0.8099263
innodb-log-buffer-size=#,session_replication_role,0.8099165
innodb-adaptive-hash-index-parts[=#],enable_hashjoin,0.80990696
sort-buffer-size=#,data_checksums,0.8098879
key-buffer-size=#,log_min_duration_statement,0.8098606
innodb-buffer-pool-size=#,idle_session_timeout,0.80982924
mysqlx-max-connections[=#],log_parameter_max_length_on_error,0.80981696
innodb-write-io-threads=#,dynamic_shared_memory_type,0.8098125
sort-buffer-size=#,promote_trigger_file,0.80978245
innodb-log-buffer-size=#,server_encoding,0.8097372
max-binlog-cache-size=#,transaction_read_only,0.8097336
innodb-read-io-threads=#,default_transaction_read_only,0.8097108
innodb-buffer-pool-size=#,debug_print_rewritten,0.80969673
myisam-sort-buffer-size=#,idle_session_timeout,0.809693
binlog-cache-size=#,track_activity_query_size,0.80967546
innodb-buffer-pool-size=#,listen_addresses,0.80965793
binlog-cache-size=#,max_standby_streaming_delay,0.8096204
join-buffer-size=#,jit_inline_above_cost,0.80959463
key-buffer-size=#,max_standby_archive_delay,0.8095809
sort-buffer-size=#,jit_inline_above_cost,0.809565
innodb-read-io-threads=#,jit_above_cost,0.809543
innodb-old-blocks-time=#,max_wal_senders,0.80953795
tmp-table-size=#,fsync,0.8095047
innodb-buffer-pool-size=#,client_min_messages,0.8094559
tmp-table-size=#,recovery_end_command,0.8093908
join-buffer-size=#,track_activity_query_size,0.80938685
innodb-log-buffer-size=#,syslog_facility,0.8093473
innodb-thread-concurrency=#,log_file_mode,0.8092984
myisam-sort-buffer-size=#,idle_in_transaction_session_timeout,0.80928355
innodb-old-blocks-time=#,wal_block_size,0.8092723
tmp-table-size=#,default_tablespace,0.80926883
innodb-thread-concurrency=#,jit_tuple_deforming,0.80924475
binlog-cache-size=#,temp_file_limit,0.80917287
innodb-io-capacity-max=#,max_slot_wal_keep_size,0.80912745
binlog-cache-size=#,default_transaction_read_only,0.80912614
innodb-sort-buffer-size=#,maintenance_work_mem,0.80905247
innodb-sort-buffer-size=#,maintenance_work_mem,0.80905247
innodb-read-io-threads=#,log_statement_stats,0.8090366
innodb-adaptive-hash-index-parts[=#],data_directory_mode,0.80901825
innodb-buffer-pool-size=#,lc_messages,0.80899596
mysqlx-max-connections[=#],autovacuum_max_workers,0.80891144
join-buffer-size=#,max_function_args,0.8088846
innodb-write-io-threads=#,syslog_sequence_numbers,0.80885375
innodb-read-io-threads=#,wal_buffers,0.8088381
innodb-thread-concurrency=#,recovery_target_xid,0.8088254
max-binlog-cache-size=#,recovery_target_xid,0.8088213
innodb-read-io-threads=#,track_commit_timestamp,0.8087452
innodb-log-buffer-size=#,log_parameter_max_length_on_error,0.8087157
max-allowed-packet=#,ssl_passphrase_command_supports_reload,0.80871284
max-binlog-cache-size=#,bytea_output,0.808698
read-buffer-size=#,temp_tablespaces,0.8086604
join-buffer-size=#,server_encoding,0.8086597
innodb-log-buffer-size=#,log_min_messages,0.80865645
read-buffer-size=#,restore_command,0.8086015
sort-buffer-size=#,wal_receiver_create_temp_slot,0.80856854
sort-buffer-size=#,syslog_split_messages,0.80855834
sort-buffer-size=#,join_collapse_limit,0.80854726
read-rnd-buffer-size=#,temp_buffers,0.80852634
table-open-cache-instances=#,wal_segment_size,0.80846894
innodb-thread-concurrency=#,wal_consistency_checking,0.8084333
innodb-buffer-pool-size=#,xmlbinary,0.8084309
read-rnd-buffer-size=#,logical_decoding_work_mem,0.80839074
key-buffer-size=#,hot_standby_feedback,0.80825424
innodb-old-blocks-time=#,logical_decoding_work_mem,0.8082128
innodb-log-file-size=#,hot_standby_feedback,0.8081989
replica-max-allowed-packet=#,tcp_keepalives_count,0.8081791
read-buffer-size=#,default_transaction_isolation,0.8081604
table-open-cache=#,data_directory_mode,0.80813825
innodb-adaptive-hash-index-parts[=#],wal_sync_method,0.8081233
bulk-insert-buffer-size=#,array_nulls,0.8081201
binlog-cache-size=#,default_toast_compression,0.8081189
read-rnd-buffer-size=#,data_checksums,0.8081125
innodb-io-capacity=#,default_statistics_target,0.808066
innodb-buffer-pool-size=#,wal_sync_method,0.8080622
innodb-write-io-threads=#,maintenance_io_concurrency,0.8080464
bulk-insert-buffer-size=#,log_autovacuum_min_duration,0.8080102
innodb-buffer-pool-size=#,log_line_prefix,0.807987
max-allowed-packet=#,syslog_split_messages,0.8079845
innodb-io-capacity-max=#,tcp_keepalives_count,0.8079754
read-buffer-size=#,log_autovacuum_min_duration,0.8079715
innodb-io-capacity=#,tcp_keepalives_count,0.8079616
myisam-sort-buffer-size=#,wal_buffers,0.8079437
key-buffer-size=#,max_parallel_workers,0.8079376
max-binlog-cache-size=#,vacuum_cost_page_hit,0.80790764
sort-buffer-size=#,from_collapse_limit,0.80789995
innodb-read-io-threads=#,port,0.8078722
innodb-log-file-size=#,recovery_init_sync_method,0.8078623
table-open-cache=#,max_parallel_workers,0.8078494
innodb-io-capacity=#,listen_addresses,0.8077961
binlog-cache-size=#,random_page_cost,0.80774534
sort-buffer-size=#,idle_in_transaction_session_timeout,0.80766875
sort-buffer-size=#,jit_optimize_above_cost,0.8076625
binlog-cache-size=#,temp_buffers,0.80763006
innodb-io-capacity=#,logging_collector,0.8076145
innodb-buffer-pool-size=#,max_replication_slots,0.8076083
myisam-sort-buffer-size=#,track_activity_query_size,0.80759364
join-buffer-size=#,log_statement,0.80752623
join-buffer-size=#,log_temp_files,0.8074881
innodb-old-blocks-time=#,event_source,0.8074771
mysqlx-max-connections[=#],data_checksums,0.8074725
sort-buffer-size=#,recovery_target_lsn,0.807471
read-buffer-size=#,enable_partition_pruning,0.80746394
replica-max-allowed-packet=#,authentication_timeout,0.8074578
binlog-cache-size=#,backend_flush_after,0.8074565
binlog-cache-size=#,bgwriter_flush_after,0.8074565
binlog-cache-size=#,checkpoint_flush_after,0.8074565
innodb-log-buffer-size=#,hot_standby_feedback,0.80745506
binlog-cache-size=#,default_transaction_isolation,0.80738056
innodb-thread-concurrency=#,wal_receiver_timeout,0.8073771
innodb-log-buffer-size=#,transaction_read_only,0.8073769
innodb-thread-concurrency=#,wal_block_size,0.8073688
innodb-online-alter-log-max-size=#,max_files_per_process,0.80735964
innodb-io-capacity=#,recovery_target_xid,0.80735815
innodb-log-buffer-size=#,seq_page_cost,0.8073334
innodb-read-io-threads=#,shared_memory_type,0.8072529
table-open-cache=#,max_parallel_workers_per_gather,0.8072431
innodb-read-io-threads=#,jit_optimize_above_cost,0.8072317
myisam-sort-buffer-size=#,wal_block_size,0.80715996
innodb-log-buffer-size=#,max_pred_locks_per_transaction,0.80714893
replica-max-allowed-packet=#,max_replication_slots,0.8071319
table-open-cache-instances=#,default_transaction_isolation,0.8070761
bulk-insert-buffer-size=#,shared_buffers,0.8070744
innodb-buffer-pool-size=#,client_encoding,0.8070686
max-allowed-packet=#,log_executor_stats,0.8070337
binlog-cache-size=#,data_directory_mode,0.8070246
innodb-read-io-threads=#,debug_discard_caches,0.8070196
read-buffer-size=#,data_checksums,0.80701923
table-open-cache-instances=#,data_directory_mode,0.8070171
innodb-old-blocks-time=#,recovery_init_sync_method,0.80700773
innodb-log-buffer-size=#,application_name,0.80699337
innodb-file-per-table,quote_all_identifiers,0.8069899
innodb-io-capacity=#,autovacuum_max_workers,0.8069888
join-buffer-size=#,max_identifier_length,0.80696297
innodb-thread-concurrency=#,ssl_crl_dir,0.806942
innodb-log-buffer-size=#,wal_receiver_status_interval,0.8069403
max-binlog-cache-size=#,geqo_generations,0.80689245
innodb-sort-buffer-size=#,max_slot_wal_keep_size,0.8068843
innodb-sort-buffer-size=#,max_slot_wal_keep_size,0.8068843
join-buffer-size=#,restore_command,0.8068809
innodb-read-io-threads=#,checkpoint_completion_target,0.8068681
innodb-io-capacity=#,transaction_read_only,0.80686283
innodb-file-per-table,session_replication_role,0.80684453
innodb-file-per-table,syslog_ident,0.80681825
tmp-table-size=#,recovery_target_lsn,0.80681336
innodb-io-capacity=#,wal_receiver_create_temp_slot,0.8067834
innodb-thread-concurrency=#,geqo_effort,0.8067543
innodb-adaptive-hash-index,default_table_access_method,0.8067405
table-open-cache=#,logical_decoding_work_mem,0.8067044
innodb-purge-threads[=#],max_files_per_process,0.8066484
join-buffer-size=#,max_standby_archive_delay,0.80663365
replica-max-allowed-packet=#,superuser_reserved_connections,0.8066114
innodb-old-blocks-time=#,data_sync_retry,0.8065945
key-buffer-size=#,syslog_facility,0.80657244
read-buffer-size=#,synchronous_commit,0.8065709
key-buffer-size=#,log_timezone,0.80656254
max-binlog-cache-size=#,recovery_init_sync_method,0.8065289
table-open-cache=#,event_source,0.8065025
innodb-log-buffer-size=#,log_transaction_sample_rate,0.8064885
innodb-io-capacity=#,full_page_writes,0.80647266
slave-max-allowed-packet=#,default_table_access_method,0.8064519
mysqlx-max-connections[=#],bgwriter_lru_multiplier,0.8064489
innodb-adaptive-hash-index-parts[=#],lo_compat_privileges,0.8064425
bulk-insert-buffer-size=#,hash_mem_multiplier,0.8064346
binlog-cache-size=#,max_pred_locks_per_transaction,0.8063977
innodb-io-capacity=#,tcp_user_timeout,0.8063877
innodb-read-io-threads=#,max_standby_streaming_delay,0.8063334
table-open-cache-instances=#,log_statement,0.80632985
read-buffer-size=#,autovacuum_analyze_threshold,0.8063224
key-buffer-size=#,max_standby_streaming_delay,0.80632097
innodb-log-file-size=#,log_hostname,0.8063082
binlog-cache-size=#,enable_sort,0.8062663
innodb-log-buffer-size=#,synchronous_commit,0.80626404
innodb-write-io-threads=#,wal_keep_size,0.8061708
table-open-cache=#,shared_memory_type,0.80614483
read-rnd-buffer-size=#,work_mem,0.8061164
table-open-cache-instances=#,max_replication_slots,0.80610824
mysqlx-max-connections[=#],max_parallel_maintenance_workers,0.80610263
innodb-adaptive-hash-index-parts[=#],shared_memory_type,0.80603904
replica-max-allowed-packet=#,autovacuum_work_mem,0.80602753
innodb-log-buffer-size=#,jit_dump_bitcode,0.80602497
max-allowed-packet=#,max_files_per_process,0.8059912
myisam-sort-buffer-size=#,max_standby_streaming_delay,0.8059797
tmp-table-size=#,allow_in_place_tablespaces,0.80594736
innodb-io-capacity=#,hash_mem_multiplier,0.80593985
key-buffer-size=#,idle_session_timeout,0.8059288
innodb-io-capacity=#,transaction_isolation,0.80588746
binlog-cache-size=#,recovery_target_xid,0.805874
mysqlx-max-connections[=#],max_logical_replication_workers,0.8058448
innodb-write-io-threads=#,port,0.8058443
read-rnd-buffer-size=#,idle_in_transaction_session_timeout,0.80580163
key-buffer-size=#,wal_consistency_checking,0.8058013
join-buffer-size=#,max_parallel_maintenance_workers,0.80578834
max-allowed-packet=#,recovery_target_lsn,0.8057344
replica-max-allowed-packet=#,max_parallel_workers,0.805719
table-open-cache=#,log_autovacuum_min_duration,0.80571544
innodb-log-buffer-size=#,bytea_output,0.805694
innodb-write-io-threads=#,jit_profiling_support,0.8056861
innodb-write-io-threads=#,track_commit_timestamp,0.8056823
table-open-cache-instances=#,max_logical_replication_workers,0.80566883
innodb-adaptive-hash-index-parts[=#],debug_assertions,0.80562997
innodb-purge-threads[=#],temp_file_limit,0.80561996
join-buffer-size=#,log_parser_stats,0.80561715
innodb-thread-concurrency=#,hot_standby,0.8056005
read-rnd-buffer-size=#,wal_init_zero,0.8055861
innodb-read-io-threads=#,lo_compat_privileges,0.8055674
bulk-insert-buffer-size=#,autovacuum_analyze_scale_factor,0.8055439
max-binlog-cache-size=#,event_source,0.8055402
join-buffer-size=#,wal_consistency_checking,0.80552137
innodb-buffer-pool-size=#,enable_partition_pruning,0.8055115
bulk-insert-buffer-size=#,wal_sync_method,0.80547667
table-open-cache=#,max_function_args,0.80547464
mysqlx-max-connections[=#],idle_in_transaction_session_timeout,0.80546665
join-buffer-size=#,log_hostname,0.80545735
innodb-thread-concurrency=#,data_checksums,0.80543745
innodb-write-io-threads=#,shared_memory_type,0.80543685
innodb-file-per-table,unix_socket_permissions,0.8054336
sort-buffer-size=#,debug_print_parse,0.805416
max-allowed-packet=#,autovacuum_vacuum_threshold,0.80540615
innodb-old-blocks-time=#,max_slot_wal_keep_size,0.8053938
join-buffer-size=#,recovery_init_sync_method,0.8053837
table-open-cache=#,log_transaction_sample_rate,0.8053825
innodb-file-per-table,log_min_duration_sample,0.80537295
innodb-file-per-table,from_collapse_limit,0.8053713
innodb-old-blocks-time=#,wal_receiver_timeout,0.8053686
max-binlog-cache-size=#,min_parallel_table_scan_size,0.8053471
innodb-log-file-size=#,log_executor_stats,0.805339
innodb-io-capacity=#,wal_log_hints,0.80532753
innodb-io-capacity=#,autovacuum_multixact_freeze_max_age,0.8053055
slave-max-allowed-packet=#,wal_skip_threshold,0.80530113
innodb-io-capacity=#,idle_session_timeout,0.80528295
max-allowed-packet=#,log_parser_stats,0.8052626
max-binlog-cache-size=#,default_tablespace,0.80524325
innodb-adaptive-hash-index-parts[=#],syslog_facility,0.8052192
innodb-read-io-threads=#,syslog_sequence_numbers,0.805213
innodb-online-alter-log-max-size=#,max_slot_wal_keep_size,0.80520284
innodb-max-dirty-pages-pct=#,remove_temp_files_after_crash,0.8051834
innodb-thread-concurrency=#,port,0.8051795
innodb-io-capacity=#,recovery_init_sync_method,0.8051443
mysqlx-max-connections[=#],log_statement_sample_rate,0.8051375
table-open-cache=#,hash_mem_multiplier,0.80512893
innodb-log-buffer-size=#,cursor_tuple_fraction,0.8050938
bulk-insert-buffer-size=#,jit_profiling_support,0.8050905
innodb-online-alter-log-max-size=#,ignore_system_indexes,0.8050328
bulk-insert-buffer-size=#,lo_compat_privileges,0.8049866
join-buffer-size=#,max_standby_streaming_delay,0.8049743
read-rnd-buffer-size=#,debug_print_rewritten,0.80495
join-buffer-size=#,recovery_target_xid,0.8048617
tmp-table-size=#,commit_delay,0.8048562
innodb-old-blocks-time=#,vacuum_cost_page_hit,0.8048468
innodb-adaptive-hash-index-parts[=#],logging_collector,0.8047576
innodb-file-per-table,log_truncate_on_rotation,0.8047418
replica-max-allowed-packet=#,commit_delay,0.8047379
read-rnd-buffer-size=#,primary_slot_name,0.8047371
max-binlog-cache-size=#,debug_print_rewritten,0.8047306
myisam-sort-buffer-size=#,recovery_target_lsn,0.8046902
binlog-cache-size=#,max_wal_senders,0.8046311
sort-buffer-size=#,log_autovacuum_min_duration,0.8046307
read-buffer-size=#,recovery_init_sync_method,0.8045534
innodb-buffer-pool-size=#,syslog_ident,0.8045348
innodb-write-io-threads=#,track_io_timing,0.80453455
innodb-flush-neighbors[=#],archive_timeout,0.804513
innodb-write-io-threads=#,debug_assertions,0.8044636
innodb-adaptive-hash-index-parts[=#],ignore_system_indexes,0.8044457
binlog-cache-size=#,max_slot_wal_keep_size,0.8044261
innodb-log-buffer-size=#,ssl_ca_file,0.80442595
innodb-purge-threads[=#],archive_timeout,0.80442214
innodb-purge-threads[=#],min_dynamic_shared_memory,0.8043915
innodb-buffer-pool-size=#,track_functions,0.80436647
tmp-table-size=#,unix_socket_group,0.8043582
tmp-table-size=#,enable_partition_pruning,0.80432016
mysqlx-max-allowed-packet[=#],huge_page_size,0.8043014
myisam-sort-buffer-size=#,syslog_split_messages,0.80429244
innodb-write-io-threads=#,logging_collector,0.8042562
innodb-io-capacity=#,commit_delay,0.80425334
join-buffer-size=#,autovacuum_vacuum_threshold,0.804242
binlog-cache-size=#,cluster_name,0.8042288
innodb-log-file-size=#,maintenance_io_concurrency,0.8042256
sort-buffer-size=#,log_truncate_on_rotation,0.80422103
innodb-io-capacity=#,vacuum_cost_page_hit,0.8041949
innodb-flush-neighbors[=#],idle_in_transaction_session_timeout,0.8041862
innodb-read-io-threads=#,logging_collector,0.8041824
table-open-cache=#,default_transaction_read_only,0.8041631
table-open-cache=#,backend_flush_after,0.8041594
table-open-cache=#,bgwriter_flush_after,0.8041594
table-open-cache=#,checkpoint_flush_after,0.8041594
innodb-buffer-pool-size=#,max_parallel_maintenance_workers,0.8041408
innodb-io-capacity-max=#,wal_sender_timeout,0.8041367
tmp-table-size=#,primary_slot_name,0.8041136
innodb-file-per-table,log_autovacuum_min_duration,0.8041109
myisam-sort-buffer-size=#,logging_collector,0.8040941
binlog-cache-size=#,transaction_deferrable,0.80409193
